"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Nederland";"NL00";"3050";"2150";"3200";"3300";"3700";"4300";"2350";"3550"
"Appingedam";"GM0003";"2700";"1800";"2800";"2850";"2900";"3700";"2250";"3300"
"Wijk 00";"WK000300";"2700";"1800";"2800";"2850";"2900";"3700";"2250";"3300"
"Appingedam-Centrum";"BU00030000";"2350";"1800";"2450";"2750";"3100";"3400";"1950";"3050"
"Appingedam-West";"BU00030001";"3150";"1800";"2850";"2750";"3150";"3850";"2550";"3550"
"Appingedam-Oost";"BU00030002";"2600";"1800";"2850";"2850";"2600";"3350";"2250";"3150"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"3950";".";".";".";"3500";"4000";".";"3950"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"4350";".";".";".";".";"4450";".";"4200"
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"3800";".";"2150";".";".";"4200";"3550";"3950"
"Bedum";"GM0005";"3000";"1750";"2850";"2900";"3100";"3600";"2250";"3350"
"Wijk 00";"WK000500";"3000";"1750";"2850";"2900";"3100";"3600";"2250";"3350"
"Bedum";"BU00050000";"2950";"1750";"2900";"2950";"3100";"3550";"2200";"3350"
"Verspreide huizen Bedum";"BU00050001";"3500";".";"2300";"2600";"3100";"4050";"2650";"3750"
"Zuidwolde";"BU00050002";"3100";".";"2450";"2550";"2950";"3600";"2250";"3400"
"Verspreide huizen Zuidwolde";"BU00050003";"4900";".";".";".";".";"4600";"4550";"4800"
"Onderdendam";"BU00050004";"3000";".";"2500";"3100";"3100";"3100";"2500";"3150"
"Verspreide huizen Onderdendam";"BU00050005";"4550";".";".";".";".";"4750";".";"4300"
"Noordwolde";"BU00050006";"2900";".";".";".";"1950";"3300";"1850";"3000"
"Verspreide huizen Noordwolde";"BU00050007";"3650";".";".";".";".";"3800";".";"3600"
"Bellingwedde";"GM0007";"3400";"1650";"2500";"2650";"3100";"3800";"2450";"3750"
"Wijk 00 Bellingwolde";"WK000700";"3400";"2100";"2500";"2750";"3050";"3850";"2550";"3800"
"Bellingwolde";"BU00070000";"3300";"2100";"2600";"3050";"3150";"3650";"2550";"3700"
"Vriescheloo";"BU00070001";"4150";".";".";".";".";"4150";".";"4150"
"Rhederweg-West";"BU00070002";"3300";".";"2900";"2350";"2700";"3650";"2650";"3600"
"Vriescheloo-Zuid";"BU00070004";"3300";".";"1800";"1950";"2850";"4150";"2350";"3850"
"Oudeschans";"BU00070005";"2900";".";".";".";"2150";"3200";"2150";"3200"
"Klein-Ulsda";"BU00070006";"3950";".";".";".";".";"3950";".";"3950"
"Verspr.h. ten Z.O. van Bellingwolde";"BU00070007";"4250";".";".";".";".";"4300";"3900";"4250"
"Verspr.h. ten zuidoosten van Vriescheloo";"BU00070008";"3800";".";".";".";".";"3750";".";"3750"
"Verspreide huizen Westerwoldse A";"BU00070009";".";".";".";".";".";".";".";"."
"Wijk 01 Oost";"WK000701";"3700";".";".";".";"3500";"3750";"3350";"3750"
"Veelerveen";"BU00070100";"3500";".";".";".";"3400";"3550";"3100";"3600"
"Rhederbrug-Oost";"BU00070101";"4150";".";".";".";".";"4150";".";"4200"
"Verspr.h. ten noordoosten van Rhederbrug";"BU00070108";"3750";".";".";".";".";"3600";".";"3700"
"Verspreide huizen Veelerveen";"BU00070109";"4000";".";".";".";".";"4000";"4850";"3950"
"Wijk 02 Blijham";"WK000702";"3300";"1500";"2500";"2550";"3150";"3800";"2250";"3750"
"Blijham";"BU00070200";"3000";"1500";"2450";"2650";"3100";"3650";"2150";"3550"
"Morige";"BU00070201";"3900";".";".";".";"2850";"4050";"2150";"4050"
"Wedde";"BU00070202";"3200";".";"2600";"2300";"3100";"3600";"2450";"3700"
"Wedderheide";"BU00070203";"3850";".";".";".";"5100";"3750";".";"3850"
"Wedderveer";"BU00070204";"4050";".";".";".";".";"4050";".";"4150"
"Verspreide huizen in de polder Blijham";"BU00070206";"5050";".";".";".";".";"5050";".";"5050"
"Verspreide huizen ten westen van Blijham";"BU00070207";"4000";".";".";".";".";"4050";".";"4100"
"Verspreide huizen Hoorn";"BU00070208";"4350";".";".";".";".";"4350";"4300";"4350"
"Verspreide huizen in de Weddermarke";"BU00070209";"4000";".";".";".";".";"4000";".";"4050"
"Ten Boer";"GM0009";"3050";"1700";"2900";"2850";"3050";"3650";"2150";"3400"
"Wijk 00 West";"WK000900";"3000";"1700";"2950";"2900";"3100";"3650";"2100";"3400"
"Ten Boer";"BU00090000";"2850";"1700";"2950";"2850";"3200";"3600";"2050";"3300"
"Garmerwolde";"BU00090001";"3300";".";"3500";"2850";"2650";"3700";"1900";"3650"
"Thesinge";"BU00090002";"3450";".";"4200";"3550";"2900";"3550";"2850";"3600"
"Sint-Annen";"BU00090003";"3400";".";".";".";"2550";"3550";"2300";"3550"
"Achter-Thesinge en Bovenrijge";"BU00090005";"3950";".";".";".";".";"3800";".";"3950"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090009";"3850";".";".";".";"3400";"4100";"2850";"3900"
"Wijk 01 Oost";"WK000901";"3250";".";"2500";"2550";"2750";"3550";"2350";"3500"
"Ten Post";"BU00090100";"3150";".";"2550";"2850";"2750";"3500";"2400";"3350"
"Winneweer (gedeeltelijk)";"BU00090101";"3900";".";".";".";".";"4200";".";"3900"
"Woltersum";"BU00090102";"3050";".";".";"1500";"2750";"3350";"2200";"3400"
"Wittewierum";"BU00090104";"4250";".";".";".";".";"4250";".";"4250"
"Lellens";"BU00090106";"3600";".";".";".";".";"3600";".";"3600"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090109";"3350";".";".";".";".";"3350";".";"3400"
"Delfzijl";"GM0010";"2900";"1850";"2900";"2900";"3100";"3650";"2300";"3300"
"Wijk 00 Stad";"WK001000";"2750";"1800";"2950";"2950";"3150";"3700";"2300";"3150"
"Delfzijl-Centrum";"BU00100000";"1950";"1850";"2150";"2350";"2800";"2800";"1750";"2250"
"Farmsum";"BU00100001";"2900";"1950";"2700";"2900";"3000";"3650";"2350";"3200"
"Delfzijl-Noord";"BU00100002";"2650";"1800";"3000";"3050";"3400";"3850";"2300";"3300"
"Delfzijl-West";"BU00100003";"2600";"1700";"2750";"2800";"2900";"3500";"2050";"2900"
"Fivelzigt";"BU00100004";"3450";".";"3200";"3300";"3700";"3650";"2450";"3600"
"Tuikwerd";"BU00100005";"3100";"2150";"2950";"2800";"3450";"4200";"2700";"3350"
"Wijk 01 Land";"WK001001";"3750";".";".";".";"2650";"3850";"2050";"3900"
"Meedhuizen";"BU00100103";"3700";".";".";".";".";"3800";"1700";"3850"
"Uitwierde";"BU00100104";"3500";".";".";".";".";"3700";".";"3500"
"Verspr.h. Eemskanaal (ten zuiden)";"BU00100107";"4050";".";".";".";"2700";"4150";".";"4200"
"Industrieterrein";"BU00100108";".";".";".";".";".";".";".";"."
"Verspreide huizen in het noorden";"BU00100109";".";".";".";".";".";".";".";"."
"Wijk 02";"WK001002";"3250";".";"2850";"2700";"2950";"3650";"2400";"3600"
"Woldendorp";"BU00100200";"3400";".";"3050";"3000";"3000";"3750";"2750";"3650"
"Termunten";"BU00100201";"3550";".";"3500";".";"3100";"3850";"2150";"3800"
"Termunterzijl";"BU00100202";"2750";".";"2550";"2350";"2550";"3150";"2400";"3050"
"Borgsweer";"BU00100203";"3600";".";".";".";"2350";"3750";".";"3750"
"Wagenborgen";"BU00100205";"3050";".";"2750";"2700";"3000";"3500";"2200";"3550"
"Verspreide huizen Wagenborgen";"BU00100207";"4200";".";".";".";".";"4250";".";"4100"
"Verspreide huizen Termunten";"BU00100209";"3600";".";".";".";".";"3700";"3200";"3650"
"Wijk 03";"WK001003";"3250";"2900";"2650";"2700";"2950";"3600";"2300";"3500"
"Bierum";"BU00100300";"2750";".";"2800";"2700";"3100";"3550";"2250";"3500"
"Spijk";"BU00100301";"3200";".";"2650";"2800";"2850";"3600";"2400";"3450"
"Holwierde";"BU00100302";"3300";".";"2700";"2650";"3000";"3700";"2200";"3550"
"Godlinze";"BU00100303";"3200";".";".";"2300";"2800";"3350";"2100";"3450"
"Losdorp";"BU00100304";"3450";".";".";"2400";"3050";"3700";"2400";"3700"
"Krewerd";"BU00100305";"3450";".";".";".";"3050";"3500";".";"3500"
"Verspreide huizen Bierum";"BU00100309";"3550";".";".";".";".";"3550";"3150";"3600"
"Groningen";"GM0014";"2450";"2000";"2950";"3100";"3650";"4250";"2050";"2950"
"Wijk 00 Binnenstad";"WK001400";"2300";"2100";"2600";"2850";"3550";"3600";"1900";"2900"
"Stadscentrum";"BU00140000";"2500";"2350";"2900";"3900";".";".";"2050";"3450"
"Binnenstad-Zuid";"BU00140001";"2300";"2100";"3150";"2600";".";".";"1950";"3000"
"Binnenstad-Oost";"BU00140002";"2150";"2050";"2450";"2600";"3350";".";"1950";"2800"
"Binnenstad-West";"BU00140003";"2200";"2000";"3000";".";".";".";"2000";"2750"
"Binnenstad-Noord";"BU00140004";"2250";"2150";"2350";"2900";"2600";"2300";"1800";"2800"
"Wijk 01 Schilders- en Zeeheldenwijk";"WK001401";"2350";"2100";"3050";"3200";"3200";"3700";"2150";"2850"
"Schildersbuurt";"BU00140100";"2600";"2400";"3100";"3350";".";"4700";"2150";"3000"
"Zeeheldenbuurt";"BU00140101";"2200";"2200";"2250";"2050";"2600";"2850";"1950";"2350"
"Friesestraatweg";"BU00140102";"3050";".";".";".";"2800";".";".";"2800"
"Kostverloren";"BU00140103";"1950";"1850";"2450";"2800";".";".";"1800";"2350"
"Vinkhuizen-Zuid";"BU00140104";"2500";"1900";"3200";"3300";"4100";"2800";"2300";"3300"
"Vinkhuizen-Noord";"BU00140105";"2450";"2000";"3150";"3150";"3500";".";"2200";"3300"
"Hoendiep";"BU00140106";"3050";".";".";".";"2600";".";"3200";"2950"
"Wijk 02 Oranjewijk";"WK001402";"2300";"1800";"2750";"2900";"3700";"4300";"1900";"2650"
"Oranjebuurt";"BU00140200";"2200";"2000";"2400";"2550";"3750";"3450";"1850";"2500"
"Concordiabuurt";"BU00140201";"1850";"1800";"2250";"2300";".";".";"1750";"2150"
"Selwerd";"BU00140202";"2050";"1750";"2850";"2850";".";".";"2000";"2700"
"Paddepoel-Zuid";"BU00140203";"2350";"1850";"3150";"3200";"3700";".";"2100";"2800"
"Paddepoel-Noord";"BU00140204";"2050";"1600";"2950";"3050";"3350";"3500";"1700";"2800"
"Noorderhoogebrug";"BU00140205";"4050";".";"3000";"3500";"4100";"4600";"2800";"4300"
"Universiteitscomplex";"BU00140206";"2800";".";".";".";".";".";".";"2800"
"Koningslaagte";"BU00140207";"5450";".";".";".";".";"5450";".";"5150"
"Wijk 03 Korrewegwijk";"WK001403";"2100";"2000";"2700";"2550";"2450";"3500";"1900";"2550"
"West-Indische buurt";"BU00140300";"2050";"1800";"2950";"2850";".";".";"1950";"2650"
"De Hoogte";"BU00140301";"2000";"1850";"2450";"2450";"2300";".";"1950";"2250"
"Oost-Indische buurt";"BU00140302";"2100";"2050";"2600";"2350";"1800";".";"1900";"2650"
"Korrewegbuurt";"BU00140303";"2250";"2150";"2950";"2750";".";"3400";"1900";"2550"
"Wijk 04 Oosterparkwijk";"WK001404";"2400";"2000";"2550";"2500";"2350";"3900";"2000";"2400"
"Gorechtbuurt";"BU00140400";"2150";"2050";"3100";"3050";".";".";"2000";"2400"
