"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Nederland";"NL00";"12802100";"29.5";"23.0";"40";"20";"58";"40";"20";"10";"8"
"Appingedam";"GM0003";"9300";"25.6";"20.2";"44";"14";"54";"46";"13";"11";"8"
"Wijk 00";"WK000300";"9300";"25.6";"20.2";"44";"14";"54";"46";"13";"11";"8"
"Appingedam-Centrum";"BU00030000";"1900";"26.0";"22.2";"47";"14";"54";"57";"11";"11";"10"
"Appingedam-West";"BU00030001";"2400";"29.3";"22.5";"38";"20";"58";"32";"21";"8";"5"
"Appingedam-Oost";"BU00030002";"4500";"22.8";"17.8";"48";"10";"50";"50";"8";"12";"10"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"200";"36.0";"25.3";"27";"32";"69";"13";"43";"2";"1"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"100";".";"26.6";".";".";".";".";".";".";"."
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"100";"23.3";"17.4";"49";"17";"64";".";".";".";"."
"Bedum";"GM0005";"7800";"27.4";"21.1";"40";"17";"59";"35";"19";"7";"5"
"Wijk 00";"WK000500";"7800";"27.4";"21.1";"40";"17";"59";"35";"19";"7";"5"
"Bedum";"BU00050000";"5800";"26.9";"20.8";"41";"16";"57";"36";"17";"6";"5"
"Verspreide huizen Bedum";"BU00050001";"500";"30.5";"21.9";"33";"22";"69";"23";"31";"6";"6"
"Zuidwolde";"BU00050002";"700";"29.0";"22.8";"37";"17";"56";"34";"23";"8";"7"
"Verspreide huizen Zuidwolde";"BU00050003";"100";".";"25.0";".";".";".";".";".";".";"."
"Onderdendam";"BU00050004";"400";"26.2";"20.7";"37";"16";"62";"36";"16";"6";"3"
"Verspreide huizen Onderdendam";"BU00050005";"100";".";".";".";".";".";".";".";".";"."
"Noordwolde";"BU00050006";"100";".";"22.8";".";".";"50";".";".";".";"."
"Verspreide huizen Noordwolde";"BU00050007";"100";".";"20.8";".";".";".";".";".";".";"."
