"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Onderwerpen";"Codering";"Aantal inwoners";"Leeftijdsgroepen";"Leeftijdsgroepen";"Leeftijdsgroepen";"Leeftijdsgroepen";"Leeftijdsgroepen";"Particuliere huishoudens";"Particuliere huishoudens";"Particuliere huishoudens";"Particuliere huishoudens";"Particuliere huishoudens"
"Onderwerpen";"Codering";"Aantal inwoners";"0 tot 15 jaar";"15 tot 25 jaar";"25 tot 45 jaar";"45 tot 65 jaar";"65 jaar of ouder";"Huishoudens totaal";"Eenpersoonshuishoudens";"Huishoudens zonder kinderen";"Huishoudens met kinderen";"Gemiddelde huishoudensgrootte"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"NL00";"16900726";"2827066";"2070025";"4242279";"4753671";"3007685";"7665198";"2867797";"2224618";"2572783";"2.2"
"Appingedam";"GM0003";"12011";"1857";"1241";"2576";"3579";"2758";"5550";"1975";"1836";"1739";"2.1"
"Wijk 00";"WK000300";"12010";"1855";"1240";"2575";"3580";"2755";"5550";"1975";"1835";"1740";"2.1"
"Appingedam-Centrum";"BU00030000";"2330";"235";"220";"475";"685";"715";"1290";"675";"360";"245";"1.7"
"Appingedam-West";"BU00030001";"3115";"555";"305";"635";"1035";"580";"1340";"345";"500";"490";"2.3"
"Appingedam-Oost";"BU00030002";"5960";"940";"650";"1345";"1635";"1385";"2700";"910";"885";"900";"2.1"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"340";"70";"35";"80";"120";"30";"120";"15";"45";"55";"2.7"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"105";"20";"10";"15";"40";"15";"40";"10";"15";"15";"2.5"
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"155";"35";"10";"20";"55";"30";"55";"5";"25";"25";"2.7"
"Bedum";"GM0005";"10441";"1771";"1232";"2182";"3213";"2043";"4309";"1205";"1523";"1581";"2.4"
"Wijk 00";"WK000500";"10440";"1770";"1230";"2180";"3210";"2040";"4310";"1205";"1520";"1580";"2.4"
"Bedum";"BU00050000";"7765";"1285";"925";"1610";"2315";"1625";"3220";"940";"1115";"1165";"2.3"
"Verspreide huizen Bedum";"BU00050001";"725";"170";"75";"195";"205";"80";"260";"40";"95";"120";"2.8"
"Zuidwolde";"BU00050002";"925";"145";"105";"160";"335";"175";"405";"115";"155";"130";"2.3"
"Verspreide huizen Zuidwolde";"BU00050003";"120";"15";"15";"15";"50";"20";"45";"10";"20";"15";"2.5"
"Onderdendam";"BU00050004";"535";"85";"60";"135";"170";"85";"235";"70";"80";"80";"2.3"
"Verspreide huizen Onderdendam";"BU00050005";"90";"15";"10";"15";"35";"10";"35";"5";"15";"10";"2.7"
"Noordwolde";"BU00050006";"135";"15";"15";"20";"45";"30";"55";"10";"20";"25";"2.4"
