"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Nederland";"NL00";"7979085";"2688330";"5290755";"6331815";"1647265";"1.0";"237";"1019585";"652335"
"Appingedam";"GM0003";"5265";"1565";"3700";"4470";"800";"0.9";"222";"385";"550"
"Wijk 00";"WK000300";"5265";"1565";"3695";"4465";"800";"0.9";"221";"370";"550"
"Appingedam-Centrum";"BU00030000";"1005";"295";"710";"865";"140";"0.8";"1193";"75";"90"
"Appingedam-West";"BU00030001";"1510";"525";"985";"1270";"240";"1.1";"956";"60";"150"
"Appingedam-Oost";"BU00030002";"2440";"640";"1800";"2105";"335";"0.9";"858";"130";"250"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"190";"75";"115";"140";"50";"1.6";"35";"70";"40"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"65";"20";"45";"45";"20";".";".";"15";"15"
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"60";"15";"45";"45";"15";"1.0";"8";"20";"5"
"Bedum";"GM0005";"4770";"1375";"3400";"3865";"910";"1.1";"107";"605";"490"
"Wijk 00";"WK000500";"4760";"1365";"3400";"3855";"910";"1.1";"107";"590";"490"
"Bedum";"BU00050000";"3455";"1065";"2390";"2860";"590";"1.1";"1121";"335";"310"
"Verspreide huizen Bedum";"BU00050001";"295";"75";"220";"205";"95";"1.1";"14";"115";"25"
"Zuidwolde";"BU00050002";"470";"115";"355";"375";"95";"1.2";"656";"50";"85"
"Verspreide huizen Zuidwolde";"BU00050003";"55";"5";"50";"35";"15";".";".";"10";"5"
"Onderdendam";"BU00050004";"300";"55";"245";"235";"65";"1.3";"541";"40";"40"
"Verspreide huizen Onderdendam";"BU00050005";"45";"10";"35";"30";"15";".";".";"15";"10"
"Noordwolde";"BU00050006";"75";"20";"55";"65";"10";"1.4";"320";"15";"10"
"Verspreide huizen Noordwolde";"BU00050007";"70";"15";"50";"50";"15";".";".";"10";"5"
"Bellingwedde";"GM0007";"5175";"1300";"3875";"3980";"1195";"1.2";"48";"795";"595"
"Wijk 00 Bellingwolde";"WK000700";"2355";"560";"1795";"1815";"540";"1.2";"55";"345";"260"
"Bellingwolde";"BU00070000";"1250";"285";"960";"995";"255";"1.1";"281";"150";"120"
"Vriescheloo";"BU00070001";"175";"50";"125";"125";"50";"1.3";"130";"35";"30"
"Rhederweg-West";"BU00070002";"245";"45";"195";"190";"55";"1.2";"159";"25";"20"
"Vriescheloo-Zuid";"BU00070004";"240";"50";"190";"180";"60";"1.2";"304";"45";"25"
"Oudeschans";"BU00070005";"70";"10";"60";"55";"15";"1.4";"155";"15";"5"
"Klein-Ulsda";"BU00070006";"35";"5";"25";"20";"15";".";".";"0";"5"
"Verspr.h. ten Z.O. van Bellingwolde";"BU00070007";"255";"85";"170";"195";"60";"1.6";"60";"40";"35"
"Verspr.h. ten zuidoosten van Vriescheloo";"BU00070008";"65";"15";"50";"40";"25";".";".";"25";"20"
"Verspreide huizen Westerwoldse A";"BU00070009";"30";"5";"20";"15";"15";".";".";"10";"0"
"Wijk 01 Oost";"WK000701";"585";"115";"475";"405";"180";"1.3";"24";"115";"70"
"Veelerveen";"BU00070100";"355";"75";"280";"255";"100";"1.4";"84";"50";"40"
"Rhederbrug-Oost";"BU00070101";"70";"10";"60";"40";"30";"1.1";"36";"20";"5"
"Verspr.h. ten noordoosten van Rhederbrug";"BU00070108";"65";"10";"60";"40";"25";".";".";"20";"5"
"Verspreide huizen Veelerveen";"BU00070109";"95";"20";"75";"70";"25";"1.3";"8";"20";"15"
"Wijk 02 Blijham";"WK000702";"2235";"630";"1605";"1760";"470";"1.3";"54";"340";"265"
"Blijham";"BU00070200";"1110";"325";"790";"910";"205";"1.2";"474";"85";"90"
"Morige";"BU00070201";"275";"70";"205";"220";"55";"1.6";"230";"40";"50"
"Wedde";"BU00070202";"350";"100";"250";"285";"70";"1.3";"495";"40";"40"
"Wedderheide";"BU00070203";"145";"25";"125";"110";"35";"1.4";"96";"30";"25"
"Wedderveer";"BU00070204";"85";"30";"60";"65";"25";"1.6";"197";"15";"15"
"Verspreide huizen in de polder Blijham";"BU00070206";"30";"15";"15";"15";"10";".";".";"75";"0"
"Verspreide huizen ten westen van Blijham";"BU00070207";"80";"25";"55";"50";"25";"1.4";"20";"20";"25"
"Verspreide huizen Hoorn";"BU00070208";"85";"20";"65";"55";"30";"1.3";"10";"25";"5"
"Verspreide huizen in de Weddermarke";"BU00070209";"65";"20";"45";"50";"15";"1.3";"15";"10";"15"
"Ten Boer";"GM0009";"3560";"950";"2610";"2840";"720";"1.2";"79";"465";"460"
"Wijk 00 West";"WK000900";"2825";"795";"2025";"2285";"540";"1.2";"92";"295";"360"
"Ten Boer";"BU00090000";"2010";"610";"1395";"1665";"345";"1.2";"1175";"155";"240"
"Garmerwolde";"BU00090001";"255";"60";"195";"195";"60";"1.3";"362";"40";"30"
"Thesinge";"BU00090002";"240";"60";"180";"180";"60";"1.3";"343";"30";"35"
"Sint-Annen";"BU00090003";"65";"10";"55";"45";"20";"1.1";"121";"10";"15"
"Achter-Thesinge en Bovenrijge";"BU00090005";"45";"5";"40";"35";"10";".";".";"5";"5"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090009";"215";"50";"165";"165";"50";"1.2";"8";"60";"35"
"Wijk 01 Oost";"WK000901";"735";"155";"580";"555";"180";"1.3";"50";"170";"95"
"Ten Post";"BU00090100";"350";"75";"275";"265";"85";"1.2";"430";"80";"30"
"Winneweer (gedeeltelijk)";"BU00090101";"70";"10";"60";"55";"15";".";".";"25";"10"
"Woltersum";"BU00090102";"180";"35";"145";"140";"40";"1.3";"474";"30";"35"
"Wittewierum";"BU00090104";"50";"15";"40";"35";"15";".";".";"20";"15"
"Lellens";"BU00090106";"35";"10";"25";"25";"10";".";".";"5";"5"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090109";"50";"10";"40";"35";"20";"0.8";"4";"15";"5"
"Delfzijl";"GM0010";"12075";"3590";"8485";"9880";"2195";"1.0";"91";"1460";"1320"
"Wijk 00 Stad";"WK001000";"7495";"2390";"5105";"6335";"1155";"0.9";"799";"620";"685"
"Delfzijl-Centrum";"BU00100000";"390";"135";"255";"330";"65";"0.7";"448";"115";"30"
"Farmsum";"BU00100001";"1295";"520";"775";"1060";"235";"1.2";"622";"250";"130"
"Delfzijl-Noord";"BU00100002";"2215";"560";"1660";"1890";"325";"0.8";"958";"75";"165"
"Delfzijl-West";"BU00100003";"1645";"510";"1135";"1420";"225";"1.0";"1047";"70";"155"
"Fivelzigt";"BU00100004";"800";"310";"490";"680";"125";"1.3";"1018";"35";"60"
"Tuikwerd";"BU00100005";"1140";"355";"785";"955";"185";"1.0";"655";"75";"140"
"Wijk 01 Land";"WK001001";"445";"120";"325";"325";"120";"1.5";"12";"240";"100"
"Meedhuizen";"BU00100103";"230";"60";"170";"175";"55";"1.4";"414";"45";"60"
"Uitwierde";"BU00100104";"40";"10";"30";"35";"5";".";".";"5";"5"
"Verspr.h. Eemskanaal (ten zuiden)";"BU00100107";"145";"30";"115";"100";"45";"1.4";"6";"45";"35"
"Industrieterrein";"BU00100108";"30";"20";"5";"15";"15";".";".";"150";"0"
"Verspreide huizen in het noorden";"BU00100109";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 02";"WK001002";"2045";"580";"1465";"1620";"425";"1.3";"50";"260";"270"
"Woldendorp";"BU00100200";"520";"140";"385";"430";"90";"1.3";"419";"55";"75"
"Termunten";"BU00100201";"225";"55";"170";"175";"50";"1.3";"392";"35";"30"
"Termunterzijl";"BU00100202";"125";"30";"90";"110";"15";"1.1";"483";"15";"15"
"Borgsweer";"BU00100203";"70";"25";"50";"50";"20";"1.3";"156";"15";"15"
"Wagenborgen";"BU00100205";"970";"305";"665";"765";"205";"1.3";"544";"100";"110"
"Verspreide huizen Wagenborgen";"BU00100207";"25";"5";"20";"15";"5";".";".";"5";"0"
"Verspreide huizen Termunten";"BU00100209";"110";"25";"85";"70";"35";"1.4";"4";"35";"15"
"Wijk 03";"WK001003";"2015";"465";"1555";"1595";"425";"1.3";"45";"295";"270"
"Bierum";"BU00100300";"300";"70";"230";"240";"60";"1.2";"390";"30";"50"
"Spijk";"BU00100301";"630";"135";"495";"485";"145";"1.2";"567";"115";"55"
"Holwierde";"BU00100302";"525";"145";"380";"450";"75";"1.3";"525";"35";"85"
"Godlinze";"BU00100303";"140";"25";"115";"110";"30";"1.2";"384";"10";"25"
"Losdorp";"BU00100304";"110";"20";"85";"75";"30";"1.5";"173";"15";"20"
"Krewerd";"BU00100305";"55";"10";"45";"45";"10";".";".";"10";"10"
"Verspreide huizen Bierum";"BU00100309";"265";"60";"205";"190";"75";"1.3";"6";"80";"25"
"Groningen";"GM0014";"69305";"24510";"44795";"50905";"18400";"0.6";"885";"9120";"5160"
"Centrum";"WK001400";"4610";"1330";"3275";"3055";"1550";"0.3";"2020";"705";"480"
"Binnenstad-Noord";"BU00140000";"695";"155";"535";"495";"195";"0.2";"1872";"160";"80"
"Binnenstad-Zuid";"BU00140001";"1710";"675";"1035";"840";"870";"0.3";"3104";"285";"175"
"Binnenstad-Oost";"BU00140002";"760";"150";"610";"585";"180";"0.2";"2846";"85";"80"
"Binnenstad-West";"BU00140003";"340";"95";"245";"275";"65";"0.3";"3491";"40";"25"
"Noorderplantsoen";"BU00140004";"0";"0";"0";"0";"0";".";".";"0";"0"
"Hortusbuurt";"BU00140005";"905";"200";"705";"710";"195";"0.3";"2872";"105";"90"
"Ebbingekwartier";"BU00140006";"130";"30";"100";"100";"30";"0.2";"1094";"20";"15"
"UMCG";"BU00140007";"5";"0";"5";"5";"0";".";".";"5";"0"
"Stationsgebied";"BU00140008";"65";"25";"40";"55";"15";"0.7";"524";"10";"15"
"Oud-Zuid";"WK001401";"5295";"1235";"4060";"4185";"1105";"0.4";"1433";"330";"525"
"De Meeuwen";"BU00140100";"445";"150";"295";"345";"100";"0.4";"2040";"10";"35"
"Oosterpoort";"BU00140101";"1365";"250";"1115";"1070";"295";"0.4";"3468";"105";"145"
"Herewegbuurt";"BU00140102";"420";"115";"305";"325";"95";"0.4";"2593";"20";"45"
