"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid"
"Onderwerpen";"Codering";"Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal"
"Nederland";"NL00";"441430";"768340";"423460";"2963210"
"Appingedam";"GM0003";"470";"770";"380";"2710"
"Wijk 00";"WK000300";"470";"770";"380";"2710"
"Appingedam-Centrum";"BU00030000";"80";"200";"70";"700"
"Appingedam-West";"BU00030001";"60";"130";"80";"570"
"Appingedam-Oost";"BU00030002";"320";"410";"200";"1370"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"0";"20";"10";"30"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"0";"10";"0";"20"
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"0";"0";"0";"30"
"Bedum";"GM0005";"150";"590";"250";"2020"
"Wijk 00";"WK000500";"150";"590";"250";"2020"
"Bedum";"BU00050000";"120";"490";"180";"1610"
"Verspreide huizen Bedum";"BU00050001";"0";"20";"20";"80"
"Zuidwolde";"BU00050002";"20";"40";"20";"180"
"Verspreide huizen Zuidwolde";"BU00050003";"0";"0";"0";"20"
"Onderdendam";"BU00050004";"10";"30";"30";"80"
"Verspreide huizen Onderdendam";"BU00050005";"0";"0";"0";"10"
"Noordwolde";"BU00050006";"0";"0";"0";"30"
"Verspreide huizen Noordwolde";"BU00050007";"0";"10";"0";"20"
"Bellingwedde";"GM0007";"260";"590";"220";"2260"
"Wijk 00 Bellingwolde";"WK000700";"140";"280";"90";"940"
"Bellingwolde";"BU00070000";"100";"120";"50";"530"
"Vriescheloo";"BU00070001";"10";"40";"0";"60"
"Rhederweg-West";"BU00070002";"20";"40";"10";"100"
"Vriescheloo-Zuid";"BU00070004";"20";"40";"10";"110"
"Oudeschans";"BU00070005";"0";"10";"10";"30"
