"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Stedelijkheid";"Stedelijkheid"
"Onderwerpen";"Codering";"Mate van stedelijkheid";"Omgevingsadressendichtheid"
"Wijken en buurten";"code";"code";"per km²"
"Nederland";"NL00";"2";"1947"
"Appingedam";"GM0003";"3";"1020"
"Wijk 00";"WK000300";"3";"1020"
"Appingedam-Centrum";"BU00030000";"3";"1161"
"Appingedam-West";"BU00030001";"4";"881"
"Appingedam-Oost";"BU00030002";"3";"1084"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"5";"348"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"5";"72"
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"5";"156"
"Bedum";"GM0005";"4";"673"
"Wijk 00";"WK000500";"4";"673"
"Bedum";"BU00050000";"4";"808"
"Verspreide huizen Bedum";"BU00050001";"5";"333"
"Zuidwolde";"BU00050002";"5";"373"
"Verspreide huizen Zuidwolde";"BU00050003";"5";"142"
"Onderdendam";"BU00050004";"5";"88"
"Verspreide huizen Onderdendam";"BU00050005";"5";"39"
"Noordwolde";"BU00050006";"5";"93"
"Verspreide huizen Noordwolde";"BU00050007";"5";"19"
"Bellingwedde";"GM0007";"5";"151"
"Wijk 00 Bellingwolde";"WK000700";"5";"118"
"Bellingwolde";"BU00070000";"5";"158"
"Vriescheloo";"BU00070001";"5";"43"
"Rhederweg-West";"BU00070002";"5";"93"
"Vriescheloo-Zuid";"BU00070004";"5";"91"
"Oudeschans";"BU00070005";"5";"19"
"Klein-Ulsda";"BU00070006";"5";"12"
"Verspr.h. ten Z.O. van Bellingwolde";"BU00070007";"5";"102"
"Verspr.h. ten zuidoosten van Vriescheloo";"BU00070008";"5";"50"
"Verspreide huizen Westerwoldse A";"BU00070009";"5";"11"
"Wijk 01 Oost";"WK000701";"5";"46"
"Veelerveen";"BU00070100";"5";"56"
"Rhederbrug-Oost";"BU00070101";"5";"42"
"Verspr.h. ten noordoosten van Rhederbrug";"BU00070108";"5";"35"
"Verspreide huizen Veelerveen";"BU00070109";"5";"21"
"Wijk 02 Blijham";"WK000702";"5";"209"
"Blijham";"BU00070200";"5";"313"
"Morige";"BU00070201";"5";"149"
"Wedde";"BU00070202";"5";"112"
"Wedderheide";"BU00070203";"5";"94"
"Wedderveer";"BU00070204";"5";"77"
"Verspreide huizen in de polder Blijham";"BU00070206";"5";"49"
"Verspreide huizen ten westen van Blijham";"BU00070207";"5";"80"
"Verspreide huizen Hoorn";"BU00070208";"5";"22"
"Verspreide huizen in de Weddermarke";"BU00070209";"5";"67"
"Ten Boer";"GM0009";"5";"367"
"Wijk 00 West";"WK000900";"5";"437"
"Ten Boer";"BU00090000";"4";"558"
"Garmerwolde";"BU00090001";"5";"68"
"Thesinge";"BU00090002";"5";"64"
"Sint-Annen";"BU00090003";"5";"21"
"Achter-Thesinge en Bovenrijge";"BU00090005";"5";"25"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090009";"5";"130"
"Wijk 01 Oost";"WK000901";"5";"74"
"Ten Post";"BU00090100";"5";"104"
"Winneweer (gedeeltelijk)";"BU00090101";"5";"45"
"Woltersum";"BU00090102";"5";"57"
"Wittewierum";"BU00090104";"5";"13"
"Lellens";"BU00090106";"5";"42"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090109";"5";"35"
"Delfzijl";"GM0010";"4";"676"
"Wijk 00 Stad";"WK001000";"4";"903"
"Delfzijl-Centrum";"BU00100000";"4";"938"
"Farmsum";"BU00100001";"4";"651"
"Delfzijl-Noord";"BU00100002";"4";"968"
"Delfzijl-West";"BU00100003";"3";"1201"
"Fivelzigt";"BU00100004";"4";"718"
"Tuikwerd";"BU00100005";"4";"552"
"Wijk 01 Land";"WK001001";"5";"110"
"Meedhuizen";"BU00100103";"5";"67"
"Uitwierde";"BU00100104";"4";"511"
"Verspr.h. Eemskanaal (ten zuiden)";"BU00100107";"5";"49"
"Industrieterrein";"BU00100108";"5";"119"
"Verspreide huizen in het noorden";"BU00100109";"5";"436"
"Wijk 02";"WK001002";"5";"164"
"Woldendorp";"BU00100200";"5";"128"
"Termunten";"BU00100201";"5";"96"
"Termunterzijl";"BU00100202";"5";"98"
"Borgsweer";"BU00100203";"5";"43"
"Wagenborgen";"BU00100205";"5";"242"
"Verspreide huizen Wagenborgen";"BU00100207";"5";"29"
"Verspreide huizen Termunten";"BU00100209";"5";"42"
"Wijk 03";"WK001003";"5";"119"
"Bierum";"BU00100300";"5";"106"
"Spijk";"BU00100301";"5";"182"
"Holwierde";"BU00100302";"5";"137"
"Godlinze";"BU00100303";"5";"47"
"Losdorp";"BU00100304";"5";"40"
"Krewerd";"BU00100305";"5";"21"
"Verspreide huizen Bierum";"BU00100309";"5";"42"
"Groningen";"GM0014";"1";"3325"
"Centrum";"WK001400";"1";"5805"
"Binnenstad-Noord";"BU00140000";"1";"6009"
"Binnenstad-Zuid";"BU00140001";"1";"5743"
"Binnenstad-Oost";"BU00140002";"1";"5431"
"Binnenstad-West";"BU00140003";"1";"5853"
"Noorderplantsoen";"BU00140004";"1";"5735"
"Hortusbuurt";"BU00140005";"1";"5984"
"Ebbingekwartier";"BU00140006";"1";"6115"
"UMCG";"BU00140007";"1";"5724"
"Stationsgebied";"BU00140008";"1";"5320"
"Oud-Zuid";"WK001401";"1";"3766"
"De Meeuwen";"BU00140100";"1";"3875"
"Oosterpoort";"BU00140101";"1";"3769"
"Herewegbuurt";"BU00140102";"1";"3772"
"Rivierenbuurt";"BU00140103";"1";"3845"
"Grunobuurt";"BU00140104";"1";"3423"
"Badstratenbuurt";"BU00140105";"1";"5155"
"Zeeheldenbuurt";"BU00140106";"1";"3675"
"Laanhuizen";"BU00140107";"1";"3288"
"Stadspark";"BU00140108";"2";"2110"
"Martini Trade Park";"BU00140109";"1";"2605"
"Oud-West";"WK001402";"1";"4902"
"Oranjebuurt";"BU00140200";"1";"4939"
"Noorderplantsoenbuurt";"BU00140201";"1";"5616"
"Schildersbuurt";"BU00140202";"1";"5117"
"Kostverloren";"BU00140203";"1";"3416"
"Oud-Noord";"WK001403";"1";"4613"
"De Hoogte";"BU00140300";"1";"4747"
"Indische buurt";"BU00140301";"1";"4464"
"Professorenbuurt";"BU00140302";"1";"4745"
"Oosterparkwijk";"WK001404";"1";"3729"
"Gorechtbuurt";"BU00140400";"1";"4613"
"Vogelbuurt";"BU00140401";"1";"3678"
"Bloemenbuurt";"BU00140402";"1";"3102"
"Florabuurt";"BU00140403";"2";"2452"
"Damsterbuurt";"BU00140404";"1";"3459"
"Zuidoost";"WK001405";"2";"1552"
"De Linie";"BU00140500";"1";"3103"
"Europapark";"BU00140501";"2";"1675"
"Eemskanaal";"BU00140502";"3";"1193"
"Kop van Oost";"BU00140503";"1";"4261"
"Woonschepenhaven";"BU00140504";"4";"992"
"Driebond";"BU00140505";"5";"368"
"Eemspoort";"BU00140506";"5";"227"
"Euvelgunne";"BU00140507";"5";"216"
"Winschoterdiep";"BU00140508";"4";"696"
"Stainkoel'n";"BU00140509";"5";"91"
"Roodehaan";"BU00140510";"5";"21"
"Waterhuizen";"BU00140511";"5";"5"
"Helpman e.o.";"WK001406";"1";"2725"
"Sterrebosbuurt";"BU00140600";"1";"3454"
"Coendersborg";"BU00140601";"2";"1918"
"Klein Martijn";"BU00140602";"3";"1378"
"Villabuurt";"BU00140603";"2";"2031"
"Helpman";"BU00140604";"1";"3072"
"De Wijert";"BU00140605";"1";"3404"
"De Wijert-Zuid";"BU00140606";"2";"2101"
"Zuidwest";"WK001407";"2";"2172"
"Corpus den Hoorn";"BU00140700";"1";"2713"
"Hoornse Meer";"BU00140701";"2";"1998"
"Hoornse Park";"BU00140702";"4";"974"
"Van Swieten";"BU00140703";"3";"1293"
"Piccardthof";"BU00140704";"4";"500"
"Bruilweering";"BU00140705";"5";"272"
"Hoogkerk e.o.";"WK001408";"4";"711"
"Hoogkerk Dorp";"BU00140800";"4";"698"
"Hoogkerk-Zuid";"BU00140801";"4";"890"
"Westpoort";"BU00140802";"5";"185"
"Vierverlaten";"BU00140803";"5";"340"
"Zuidwending";"BU00140804";"5";"212"
"Leegkerk";"BU00140805";"5";"201"
"Gravenburg";"BU00140806";"5";"457"
"Suikerfabriekterrein";"BU00140807";"4";"966"
"Peizerweg";"BU00140808";"3";"1011"
"Bangeweer";"BU00140809";"5";"491"
"De Buitenhof";"BU00140810";"5";"351"
"Kranenburg";"BU00140811";"5";"364"
"De Kring";"BU00140812";"4";"515"
"Nieuw-West";"WK001409";"2";"2113"
"Vinkhuizen-Noord";"BU00140900";"1";"2532"
"Vinkhuizen-Zuid";"BU00140901";"2";"2470"
"Hoendiep";"BU00140902";"2";"1612"
"Friesestraatweg";"BU00140903";"1";"3386"
"Reitdiep";"BU00140904";"4";"748"
"Dorkwerd";"BU00140905";"5";"82"
"De Held";"BU00140906";"3";"1345"
"Westpark";"BU00140907";"4";"627"
"Noordwest";"WK001410";"1";"3961"
"Selwerd";"BU00141000";"1";"3811"
"Paddepoel-Zuid";"BU00141001";"1";"4478"
"Paddepoel-Noord";"BU00141002";"1";"3498"
"Zernike Campus";"BU00141003";"4";"916"
"Selwerderhof";"BU00141004";"3";"1492"
"Tuinwijk";"BU00141005";"1";"5404"
"Noordoost";"WK001411";"2";"1554"
"Beijum-West";"BU00141100";"2";"1630"
"Beijum-Oost";"BU00141101";"3";"1484"
"De Hunze";"BU00141102";"2";"1517"
"Van Starkenborgh";"BU00141103";"2";"2329"
"Noorderhoogebrug";"BU00141104";"3";"1097"
"Het Witte Lam";"BU00141105";"3";"1060"
"Koningslaagte";"BU00141106";"5";"187"
"Hunzeboord";"BU00141107";"3";"1331"
"Noorddijk e.o.";"WK001412";"3";"1369"
"Lewenborg-Noord";"BU00141200";"3";"1372"
"Lewenborg-Zuid";"BU00141201";"3";"1481"
"Lewenborg-West";"BU00141202";"3";"1452"
"Oosterhoogebrug";"BU00141203";"3";"1362"
"Ulgersmaborg";"BU00141204";"3";"1432"
"Hunzepark";"BU00141205";"3";"1115"
"Zilvermeer";"BU00141206";"3";"1353"
"Kardinge";"BU00141207";"3";"1175"
"Drielanden";"BU00141208";"3";"1073"
"Noorddijk";"BU00141209";"4";"790"
"Ruischerbrug";"BU00141210";"4";"994"
"Ruischerwaard";"BU00141211";"3";"1202"
"Meerdorpen";"WK001413";"5";"107"
"Middelbert";"BU00141300";"5";"148"
"Engelbert";"BU00141301";"5";"94"
"Klein Harkstede";"BU00141302";"5";"216"
"Grootegast";"GM0015";"5";"227"
"Wijk 00 Grootegast";"WK001500";"5";"318"
"Grootegast";"BU00150000";"5";"436"
"Doezum";"BU00150001";"5";"94"
"Sebaldeburen";"BU00150002";"5";"68"
"Het Peebos";"BU00150006";"5";"34"
"Verspr.h. ten zuiden van Sebaldeburen";"BU00150007";"5";"56"
"Verspr.h. ten zuiden van Grootegast";"BU00150008";"5";"60"
"Overige verspreide huizen";"BU00150009";"5";"76"
"Wijk 01 Lutjegast";"WK001501";"5";"69"
"Lutjegast";"BU00150100";"5";"93"
"Verspreide huizen Lutjegast";"BU00150109";"5";"25"
"Wijk 02 Opende";"WK001502";"5";"125"
"Opende-West";"BU00150200";"5";"192"
"Opende-Oost";"BU00150201";"5";"60"
"Kornhorn";"BU00150202";"5";"92"
"Verspreide huizen ten zuiden van Opende";"BU00150209";"5";"82"
"Wijk 03 Oldekerk";"WK001503";"5";"202"
"Niekerk";"BU00150300";"5";"246"
"Oldekerk";"BU00150301";"5";"195"
"Verspreide huizen Oldekerk";"BU00150309";"5";"89"
"Haren";"GM0017";"4";"864"
"Wijk 00 Centrum";"WK001700";"4";"946"
"Haren";"BU00170000";"3";"1094"
"Oosterhaar";"BU00170001";"4";"943"
"Voorveld";"BU00170002";"5";"212"
"Harenermolen";"BU00170003";"5";"126"
"Glimmen";"BU00170004";"5";"171"
"Hemmen";"BU00170005";"4";"529"
"Wijk 01 Land";"WK001701";"5";"157"
"Noordlaren";"BU00170100";"5";"88"
"Onnen";"BU00170101";"5";"87"
"Paterswolde (gedeeltelijk)";"BU00170102";"5";"144"
"Essen";"BU00170103";"5";"451"
"Verspr.h. ten W. van Noord-Willemskanaal";"BU00170106";"5";"193"
"Verspreide huizen op de Hondsrug";"BU00170107";"5";"50"
"Verspreide huizen Onner Esch";"BU00170108";"5";"328"
"Verspr.h. ten oosten van de Hondsrug";"BU00170109";"5";"66"
"Hoogezand-Sappemeer";"GM0018";"3";"1246"
"Wijk 01 Foxham en Hoogezand-Noord";"WK001801";"3";"1494"
"Noorderpark";"BU00180101";"2";"1607"
"Westerpark";"BU00180102";"2";"1746"
"Beukemabuurt";"BU00180103";"2";"1719"
"Oosterpark";"BU00180104";"2";"1700"
"Martenshoek";"BU00180105";"3";"1208"
"Industriegebied Martenshoek";"BU00180106";"4";"570"
"Stadshart-Noord";"BU00180107";"2";"1751"
"Wijk 02 Hoogezand-Zuid";"WK001802";"2";"1623"
"Spoorstraat en Kieldiep";"BU00180201";"2";"1761"
"Burgemeester van Royenstraat en omgeving";"BU00180202";"3";"1431"
"Gorecht-Noord";"BU00180203";"2";"1907"
"Gorechtpark";"BU00180204";"4";"565"
"Gorecht-West";"BU00180205";"2";"1871"
"Woldwijck-West";"BU00180206";"3";"1116"
"Woldwijck-Midden";"BU00180207";"2";"1536"
"Woldwijck-Oost";"BU00180208";"3";"1375"
"Kropswolderpolder";"BU00180209";"5";"289"
"Gorechtpark-Oost";"BU00180210";"3";"1461"
"Wijk 03 Kalkwijk";"WK001803";"3";"1315"
"Stadshart-Zuid";"BU00180301";"2";"1710"
"Zuiderpark";"BU00180302";"2";"1644"
"De Dreven";"BU00180303";"4";"973"
"De Vosholen-West";"BU00180304";"3";"1171"
"Kalkwijk-Zuid";"BU00180305";"5";"144"
"Kalkwijk-Noord";"BU00180306";"3";"1028"
"Wijk 05 Kiel-Windeweer";"WK001805";"5";"42"
"Kiel-Windeweer";"BU00180501";"5";"45"
"Kiel-Windeweer Buiten";"BU00180502";"5";"32"
"Wijk 06 Kropswolde";"WK001806";"5";"215"
"Recreatiegebied Meerwijck";"BU00180601";"5";"209"
"Polder Kropswolde";"BU00180602";"5";"186"
"Meerwijck";"BU00180603";"5";"224"
"Polder Wolfsbarge";"BU00180604";"5";"46"
"Kropswolderbuitenpolder";"BU00180605";"5";"259"
"Kropswolde";"BU00180606";"5";"288"
"Wijk 07 Foxhol";"WK001807";"5";"293"
"Foxhol";"BU00180701";"5";"318"
"Foxholsterbosch";"BU00180702";"5";"230"
"Wijk 08 Westerbroek";"WK001808";"5";"67"
"Westerbroekstermolenpolder";"BU00180801";"5";"48"
"Westerbroekstermadepolder";"BU00180802";"5";"47"
"Industriegebied Winschoterdiep";"BU00180803";"5";"64"
"Westerbroek";"BU00180804";"5";"87"
"Wijk 09 Waterhuizen";"WK001809";"5";"28"
"Waterhuizen";"BU00180901";"5";"28"
"Wijk 11 Sappemeer";"WK001811";"3";"1035"
"Magrietpark";"BU00181101";"3";"1361"
"Sappemeer-Oost";"BU00181102";"4";"608"
"Boswijck-West";"BU00181103";"2";"1523"
"Boswijck-Oost";"BU00181104";"3";"1428"
"Compagniesterpark";"BU00181105";"4";"896"
"De Vosholen-Oost";"BU00181106";"4";"918"
"Nieuw Woelwijck";"BU00181107";"5";"364"
"Polder De Nijverheid";"BU00181108";"5";"185"
"Sappemeer-Noord";"BU00181109";"5";"310"
"Leek";"GM0022";"4";"726"
"Wijk 00 Leek";"WK002200";"4";"964"
"Diepswal";"BU00220001";"4";"711"
"Centrum Leek en omgeving";"BU00220002";"3";"1027"
"Rodenburg en omgeving";"BU00220003";"3";"1127"
"Nienoordsrand";"BU00220004";"5";"296"
"Buitengebied ten oosten van Leek";"BU00220008";"5";"406"
"Buitengebied ten zuiden van Leek";"BU00220009";"5";"285"
"Wijk 01 Zevenhuizen";"WK002201";"5";"148"
"Bebouwde kom Zevenhuizen";"BU00220100";"5";"215"
"De Haspel";"BU00220101";"5";"35"
"Drostinnewijk";"BU00220102";"5";"112"
"Boerenstreek";"BU00220103";"5";"77"
"Buitengebied ten noorden van Zevenhuizen";"BU00220107";"5";"178"
"Buitengebied ten oosten van Zevenhuizen";"BU00220108";"5";"116"
"Buitengebied ten westen van Zevenhuizen";"BU00220109";"5";"60"
"Wijk 02 Tolbert";"WK002202";"4";"708"
"Bebouwde kom Tolbert";"BU00220200";"4";"604"
"Sint Maheerdt";"BU00220201";"4";"944"
"Buitengebied Tolbert";"BU00220209";"5";"179"
"Wijk 04 Midwolde";"WK002204";"5";"88"
"Bebouwde kom Midwolde";"BU00220400";"5";"77"
"Pasop";"BU00220401";"5";"17"
"Buitengebied Midwolde";"BU00220409";"5";"106"
"Wijk 05 Lettelbert";"WK002205";"5";"20"
